2026-04-16 10:24:15 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:28:29 | 127.0.0.1 | admin | COMMAND: help
2026-04-16 10:28:33 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:28:36 | 127.0.0.1 | admin | COMMAND: date
2026-04-16 10:28:46 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:28:46 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:29:47 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:29:47 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:29:47 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:29:47 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:29:47 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:29:47 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:29:47 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:29:47 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:29:47 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:29:47 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:29:47 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:29:47 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 10:29:47 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:29:47 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:29:47 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:29:47 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:29:47 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:29:47 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:29:47 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:29:47 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 10:29:47 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:32:27 | 127.0.0.1 | user | LOGIN SUCCESS
2026-04-16 10:32:30 | 127.0.0.1 | user | COMMAND: help
2026-04-16 10:32:35 | 127.0.0.1 | user | COMMAND: whoami
2026-04-16 10:32:37 | 127.0.0.1 | user | COMMAND: date
2026-04-16 10:32:40 | 127.0.0.1 | user | COMMAND: exit
2026-04-16 10:32:40 | 127.0.0.1 | user | DISCONNECTED
2026-04-16 10:33:24 | 127.0.0.1 | admin | LOGIN FAILED
2026-04-16 10:33:24 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:33:34 | 127.0.0.1 | admin | LOGIN FAILED
2026-04-16 10:33:34 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:33:41 | 127.0.0.1 | unknown | BLOCKED
2026-04-16 10:33:41 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 10:33:44 | 127.0.0.1 | unknown | BLOCKED
2026-04-16 10:33:44 | 127.0.0.1 | unknown | DISCONNECTED
2026-04-16 13:26:03 | 10.1.23.192 | admin | LOGIN SUCCESS
2026-04-16 13:26:09 | 10.1.23.192 | admin | COMMAND: help
2026-04-16 13:26:24 | 10.1.23.192 | admin | COMMAND: whoami
2026-04-16 13:26:27 | 10.1.23.192 | admin | COMMAND: dir
2026-04-16 13:26:30 | 10.1.23.192 | admin | COMMAND: uptime
2026-04-16 13:26:36 | 10.1.23.192 | admin | COMMAND: date
2026-04-16 13:26:42 | 10.1.23.192 | admin | COMMAND: shutdown
2026-04-16 13:26:48 | 10.1.23.192 | admin | COMMAND: exit
2026-04-16 13:26:48 | 10.1.23.192 | admin | DISCONNECTED
2026-04-16 13:28:15 | 10.1.23.192 | admin | LOGIN SUCCESS
2026-04-16 13:28:45 | 10.1.23.192 | admin | DISCONNECTED
2026-04-16 13:30:04 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 13:30:04 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 13:30:04 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 13:30:04 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 13:30:04 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 13:30:04 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 13:30:04 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 13:30:04 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 13:30:04 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 13:30:04 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 13:30:04 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 13:30:04 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 13:30:04 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 13:30:04 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 13:30:04 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 13:30:04 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 13:30:04 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 13:30:04 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 13:30:04 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 13:30:04 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 13:30:04 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 15:35:21 | 10.1.23.192 | admin | LOGIN SUCCESS
2026-04-16 15:35:25 | 10.1.23.192 | admin | COMMAND: help
2026-04-16 15:35:30 | 10.1.23.192 | admin | COMMAND: whoami
2026-04-16 15:35:33 | 10.1.23.192 | admin | COMMAND: date
2026-04-16 15:35:38 | 10.1.23.192 | admin | COMMAND: dir
2026-04-16 15:35:40 | 10.1.23.192 | admin | COMMAND: exit
2026-04-16 15:35:40 | 10.1.23.192 | admin | DISCONNECTED
2026-04-16 15:37:39 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 15:37:39 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 15:37:39 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 15:37:39 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 15:37:39 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 15:37:39 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 15:37:39 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 15:37:39 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 15:37:39 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 15:37:39 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 15:37:39 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 15:37:39 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 15:37:39 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 15:37:39 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 15:37:39 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 15:37:39 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 15:37:39 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 15:37:39 | 127.0.0.1 | admin | COMMAND: exit
2026-04-16 15:37:39 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 15:37:39 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 15:37:39 | 127.0.0.1 | admin | DISCONNECTED
2026-04-16 15:49:16 | 10.1.18.77 | admin | LOGIN FAILED
2026-04-16 15:49:16 | 10.1.18.77 | admin | DISCONNECTED
2026-04-16 15:49:38 | 10.1.18.77 | admin | LOGIN FAILED
2026-04-16 15:49:38 | 10.1.18.77 | admin | DISCONNECTED
2026-04-16 15:49:55 | 10.1.18.77 | admin | LOGIN SUCCESS
2026-04-16 15:50:04 | 10.1.18.77 | admin | COMMAND: help
2026-04-16 15:50:34 | 10.1.18.77 | admin | DISCONNECTED
2026-04-22 17:28:38 | 172.16.7.166 | admin | LOGIN SUCCESS
2026-04-22 17:28:43 | 172.16.7.166 | admin | COMMAND: help
2026-04-22 17:28:47 | 172.16.7.166 | admin | COMMAND: whoami
2026-04-22 17:28:53 | 172.16.7.166 | admin | COMMAND: date
2026-04-22 17:29:07 | 172.16.7.166 | admin | COMMAND: dir
2026-04-22 17:29:12 | 172.16.7.166 | admin | COMMAND: exit
2026-04-22 17:29:12 | 172.16.7.166 | admin | DISCONNECTED
2026-04-22 17:29:28 | 172.16.7.166 | user | LOGIN SUCCESS
2026-04-22 17:29:34 | 172.16.7.166 | user | COMMAND: help
2026-04-22 17:29:39 | 172.16.7.166 | user | COMMAND: whoami
2026-04-22 17:29:43 | 172.16.7.166 | user | COMMAND: date
2026-04-22 17:29:46 | 172.16.7.166 | user | COMMAND: exit
2026-04-22 17:29:46 | 172.16.7.166 | user | DISCONNECTED
2026-04-22 17:46:24 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-22 17:46:24 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-22 17:46:24 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-22 17:46:24 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-22 17:46:24 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-22 17:46:24 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: exit
2026-04-22 17:46:24 | 127.0.0.1 | admin | DISCONNECTED
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: exit
2026-04-22 17:46:24 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-22 17:46:24 | 127.0.0.1 | admin | DISCONNECTED
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: exit
2026-04-22 17:46:24 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-22 17:46:24 | 127.0.0.1 | admin | DISCONNECTED
2026-04-22 17:46:24 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: exit
2026-04-22 17:46:24 | 127.0.0.1 | admin | DISCONNECTED
2026-04-22 17:46:24 | 127.0.0.1 | admin | LOGIN SUCCESS
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: exit
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: exit
2026-04-22 17:46:24 | 127.0.0.1 | admin | DISCONNECTED
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: whoami
2026-04-22 17:46:24 | 127.0.0.1 | admin | DISCONNECTED
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: exit
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: exit
2026-04-22 17:46:24 | 127.0.0.1 | admin | DISCONNECTED
2026-04-22 17:46:24 | 127.0.0.1 | admin | DISCONNECTED
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: exit
2026-04-22 17:46:24 | 127.0.0.1 | admin | DISCONNECTED
2026-04-22 17:46:24 | 127.0.0.1 | admin | COMMAND: exit
2026-04-22 17:46:24 | 127.0.0.1 | admin | DISCONNECTED
